lat,lng,amenity,country,admin,name
-39.6779806,175.8010589,fire_station,NZ,Manawatu-Wanganui,Taihape Volunteer Fire Brigade
-39.8079523,175.7890532,fire_station,NZ,Manawatu-Wanganui,Mangaweka Volunteer Fire Brigade
-39.9365279,175.5705764,fire_station,NZ,Manawatu-Wanganui,Hunterville Volunteer Fire Brigade
-40.0782744,175.3789161,fire_station,NZ,Manawatu-Wanganui,Marton Volunteer Fire Brigade
-36.8496147,174.765735,bakery,NZ,Auckland,La Couronne Cake Boutique
-36.8488588,174.7788543,car_rental,NZ,Auckland,USave Car & Truck Rental
-36.846907,174.767714,restaurant,NZ,Auckland,Wok 'n Noodle
-43.4494743,172.6299422,fuel,NZ,Canterbury,fuel
-43.4812281,172.5928073,fuel,NZ,Canterbury,Sawyers Arms Road BP
-43.4876974,172.5878958,fuel,NZ,Canterbury,Caltex
-43.4898107,172.5930428,fuel,NZ,Canterbury,Z Bishodale
-43.491833,172.5729002,fuel,NZ,Canterbury,Z Burnside
-43.4956428,172.6082268,fuel,NZ,Canterbury,Mobil
-43.4995288,172.6098874,fuel,NZ,Canterbury,BP 2go
-43.4976706,172.6423819,fuel,NZ,Canterbury,BP 2GO Mairehau
-43.5126915,172.5083744,fuel,NZ,Canterbury,West Melton Service Station
-43.5105133,172.607588,fuel,NZ,Canterbury,Z Bryndwr
-43.5126875,172.6518183,fuel,NZ,Canterbury,Challenge Hills Road
-43.5219117,172.6561269,fuel,NZ,Canterbury,Butler Auto Mart
-43.5255151,172.673209,fuel,NZ,Canterbury,BP Connect Dallington
-43.5119305,172.6921185,fuel,NZ,Canterbury,Mobil Wainoni
-43.5062509,172.7279285,fuel,NZ,Canterbury,Z New Brighton
-43.5471963,172.6795717,fuel,NZ,Canterbury,Mobil Woolston
-43.5435267,172.6679941,fuel,NZ,Canterbury,Shell Ferry Road
-43.5472555,172.6542957,fuel,NZ,Canterbury,Challenge Opawa Services Station
-43.5402493,172.6221744,fuel,NZ,Canterbury,Z Moorhouse
-43.5403032,172.6168607,fuel,NZ,Canterbury,Mobil Hagley South
-43.5458225,172.6085758,fuel,NZ,Canterbury,Shell Raceway
-43.5377159,172.5955491,fuel,NZ,Canterbury,Caltex
-43.5446944,172.5674282,fuel,NZ,Canterbury,Parkhouse Service Station
-43.5439459,172.5229628,fuel,NZ,Canterbury,Caltex
-43.5387832,172.5274556,fuel,NZ,Canterbury,g.a.s. Hornby
-43.5381532,172.5286455,fuel,NZ,Canterbury,Z
-43.5573148,172.6187038,fuel,NZ,Canterbury,Z Barrington
-43.5648638,172.6858461,fuel,NZ,Canterbury,BP Truckstop
-43.5232112,172.7320436,fuel,NZ,Canterbury,South Shore Service Station
-43.4759734,172.6243088,swimming_pool,NZ,Canterbury,Canterbury Swimming Pools
-43.513054,172.6353712,swimming_pool,NZ,Canterbury,Edgeware Pool
-38.8892497,175.3293833,fire_station,NZ,Manawatu-Wanganui,Manunui Volunteer Fire Brigade
-39.1745876,175.3960627,fire_station,NZ,Manawatu-Wanganui,National Park Volunteer Fire Brigade
-38.9983824,175.378083,fire_station,NZ,Manawatu-Wanganui,Owhango Volunteer Fire Brigade
-39.4254781,175.277305,fire_station,NZ,Manawatu-Wanganui,Raetihi Volunteer Fire Brigase
