lat,lng,name,website
-45.8729161,170.5028176,Metro Cinema,
-45.8724414,170.4720854,Z Valley,
-43.1909607,172.7379567,Coulbeck Reserve,
-43.0544787,172.7580196,Glenmark Station,
-40.9557690,175.6504413,Gull Masterton,
-43.7616305,172.2996269,War Memorial,
-36.7970204,175.0660699,Isola Estates,
-43.9241995,171.7047680,Tinwald Camping Ground,
-43.3802810,171.9304198,Russell Flat School,
-36.7621745,175.1741680,Stoney Batter Museum,
-36.8442452,175.1489166,Orapiu Wharf,
-36.7920804,175.0002569,Mudbrick Vineyard,
-36.7882243,175.0014156,Cable Bay Vineyard,
-43.0815647,172.7915373,Mt Cass Walkway,
-43.0465371,172.7841561,St Pauls Glenmark,
-41.2873708,174.7725192,Kia Maia International Student Christian Hostel,
-41.2813643,174.7659277,Joy Fountain,
-41.2822098,174.7653727,The Duckpond Pavilion,
-41.2841697,174.7632305,James Hector Memorial Lookout,
-41.2890296,174.7619641,Kiwibank,
-41.2891596,174.7620333,Kelburn Pharmacy,
-43.7851525,172.9566641,Boat Ramp,
-43.7674454,172.9618355,Boat Ramp,
-43.7736399,172.9267043,Onawe,
-43.4871938,172.1181041,Darfield Hospital,
-43.4886509,172.1158077,Police,
-43.0312845,171.7471641,Cass Saddle Carpark,
-43.0275683,171.6291442,Bealey Spur Carpark,
-43.0213826,171.6098389,Bealey Hotel,
-43.0215983,171.6105725,Bealey Motels,
-36.8176656,175.0361465,Te Whau vineyard,
-43.0022357,171.5891598,Klondyke Shelter,
-42.9814038,171.5922472,Edwards carpark,
-42.9840683,171.5904218,Greyneys Shelter,
-42.9488711,171.5675637,Police,
-42.9406170,171.5626045,Public Day Shelter,
-42.7139535,170.9694275,Four Square,
-42.8424438,171.1677217,Dorothy Falls,
-41.2952281,174.7831966,Queen Victoria Monument,
-41.2952986,174.7829152,National Bank,
-41.2942895,174.7833764,The Craftsman,
-41.2939947,174.7826052,ANZ,
-41.2935507,174.7812852,ANZ,
-41.2934333,174.7813603,Kiwibank,
-41.2931934,174.7810056,ANZ,
-41.2934968,174.7809748,Westpac,
-41.2934154,174.7805046,Bangalore Polo Club,
-41.2933868,174.7803632,The Grand,
-41.2944079,174.7804990,Lonestar,
-36.8139449,175.0717306,Lookout,
-36.8117166,175.0690746,Whakanewha Regional Park Entrance,
-42.7905810,171.5518299,Carroll Hut,
-39.9305774,175.0531793,Davis Central City Library,
-39.9309868,175.0525918,Alexander Heritage & Research Library,
-36.8013946,175.0697296,Waiheke Museum,
-38.1637015,176.2502660,Te Puia Thermal Park,
-36.8803485,174.8116231,The Villager,
-39.4180104,175.3986389,The Mountain Rocks,
-39.2979703,175.5471534,Giant Cafe,
-40.3713315,175.6099102,Palmerston North Holiday Park,
-40.3622651,175.6161624,Fitzherbert St Caltex,
-38.2852451,176.3873571,Waimangu Volcanic & Thermal Valley,
-38.1073014,176.2200731,Mitai Maori Experience,
-38.1378230,176.2581445,Polynesian Spa,
-38.0662580,176.2162319,Nicara Lake Side Cottage,
-38.0670013,176.2163177,Nicara Lakeside Lodge,
-41.5121018,173.9602574,River Queen Terminal,
-45.8746118,170.5016932,Moray Place Car Park,
-35.0265086,173.6925120,Rock Pools,
-35.1784390,173.1335940,Endlesssum,
-36.8491133,174.5437548,Waitakere Railway Station,
-36.8486186,174.7558348,The Sprig and Fern,
-36.8482271,174.7629931,The Fiddler,
-36.8465557,174.7617625,The Heritage,
-36.8464595,174.7615393,Cafe Della Piazza,
-43.4513311,172.4498960,map,
-36.8511950,174.7754699,The Strand Tavern,
-36.8449243,174.7639356,Mo's,
-36.8506029,174.7641640,Father Ted's,
-36.8521963,174.7686186,Shadows,
-36.8476285,174.7647051,Bluestone Room,
-36.8474709,174.7665050,Deschlers,
-36.8477319,174.7663956,Rakinos,
-36.8471893,174.7647390,Crow Bar,
-36.8466908,174.7640745,Shakepeare's Tavern,
-36.8468658,174.7657817,QF Tavern,
-36.8470596,174.7665237,Queensferry Tavern,
-36.8469901,174.7662754,The Occidental,
-36.8470128,174.7663922,Vulture's Lane,
-36.8518185,174.7642669,Brooklyn,
-36.8517086,174.7634687,The Playhouse,
-36.8489133,174.7616749,Canoe Bar,
-36.8496894,174.7641210,Margheritas,
-36.8496619,174.7646360,Auckland Central Backpackers,
-36.8461041,174.7684212,Fat Camel,
-36.8456851,174.7665415,Queen Street Backpackers,
-36.8459202,174.7674567,X Base,
-36.8483638,174.7636919,Surf 'n Ski,
-36.8490297,174.7737370,The Station,
-36.8421767,174.7636575,The Waterfront,
-36.8425617,174.7635157,Degree,
-36.8431162,174.7621555,O' Hagan's,
-36.8454447,174.7675886,Jokers,
-36.8455533,174.7689513,The Brewery Britomart,
-36.8444350,174.7670393,Boogie Wonderland,
-36.8487024,174.7645640,President's Hotel,
-36.8463740,174.7619890,Muddy Farmer,
-36.8505500,174.7657656,Tony's,
-36.8503714,174.7633281,Tony's,
-36.8500081,174.7650348,ANZ,
-36.8498220,174.7648558,Westpac,
-36.8466144,174.7667441,Code,
-36.8466625,174.7670016,Corner Bar,
-36.8480528,174.7705297,Hotel Pullman Auckland,
-43.2288998,172.2270719,Ashley Gorge Camping Ground,
-43.1962088,172.2933884,Blowhard Track carpark,
-41.1379137,175.0382210,Trentham,
-41.1978851,174.9374460,Z High Street,
-41.2040192,174.9141749,Z VIC Corner,
-41.2039056,174.9190741,Knox Presbyterian Church,
-43.3902667,172.6784254,The Landing,
-40.9961930,173.0050314,Park Café,
-40.9980440,173.0033370,The Fat Tui,
-41.0052236,173.0094881,Abel Tasman Centre,
-40.9910807,172.9952291,Old MacDonalds Farm,
-40.9943338,173.0030170,The Barn Backpackers,
-40.9960993,173.0050253,Abel Tasman Track,
-41.0249953,172.9045624,Hawkes Lookout,
-40.8573628,172.8065363,The Brigand,
-40.8480326,172.7686639,Pupu Springs,
-36.8942579,174.6952637,Avondale Library,
-44.7318884,167.7987124,Mackay Falls,
-44.7192082,168.2780556,New Routeburn Shelter,
-41.0851732,172.9971523,Challenge,
-41.1117153,173.0113142,life Pharmacy Motueka,
-41.1081432,173.0114237,Hotel Motueka,
-43.1294741,172.3374819,Pinchgut Hut,
-43.1957544,172.3383020,Mt Thomas Forrest H.Q.,
-43.0362189,171.6440498,Lagoon Saddle Carpark,
-42.9353597,171.5605040,Punchbowl Carpark,
-41.2671317,173.0069518,Moutere Inn,
-41.2705570,173.0058748,Saint Paul's,
-41.2979034,173.0162496,Chandrakirti Meditation Centre,
-45.0941214,169.6020811,Muddy Creek,
-45.0497399,169.7276745,Poolburn,
-45.0068977,169.9129052,T. Gilchrist & Sons,
-45.3453539,170.8263499,Moeraki Boulders,
-45.1218200,170.9804085,Yellow Eyed Penguin Colony,
-42.9328303,171.5664734,Devils Punchball Lookout,
-43.9040565,171.8035229,Ashburton Airfield,
-41.2884029,174.0048584,Subway,
-41.2879842,174.0054206,i Site,
-41.2931242,174.0067282,Community Policing Centre,
-41.2919642,174.0072651,Mariners Mall,
-41.2871565,174.7509461,Embassy of the Russian Federation,
-41.5140304,173.9590676,bp,
-41.2983391,174.0108827,Hilltop View,
-41.1104985,173.0107614,Post Office Hotel,
-41.1111887,173.0113093,Westpac,
-41.1111670,173.0108573,Unichem,
-41.1123554,173.0112131,ANZ Bank,
-41.1126153,173.0112022,Take Note / NZ Post,
-41.1137540,173.0107664,Super Liquor,
-41.1141079,173.0107460,Z,
-40.8027914,173.0037238,Anapai Beach Camp,
-40.8494240,173.0156028,Whaiharakeke,
-40.8890748,173.0464675,Onetahuti,
-40.9639221,173.0562150,Watering Cove,
-41.2869945,174.0057010,Eco World Aquarium & Terrarium,
-41.2883286,174.0057851,Kiwi Golf,
-41.2890307,174.0071494,Picton Healthcare Pharmacy,
-41.2892062,174.0070092,ASB,
-41.2913967,174.0070839,Kiwibank,
-41.2916635,174.0070279,Queen Charlotte Pharmacy,
-41.2917828,174.0070092,Westpac,
-41.2920005,174.0070092,National Bank,
-41.2917860,174.0064860,Picton Volunteer Fire Brigade,
-41.2911966,174.0064730,Picton Medical Centre,
-41.2911462,174.0064703,Picton Library,
-41.2885860,174.0064172,Picton Museum,
-36.7351407,175.4824601,Shelly Beach Top 10 Holiday Park,
-41.8047372,172.8436823,DOC Saint Arnaud,
-41.8351115,172.8088969,Relax Shelter,
-41.8315882,172.8104915,Bushedge Shelter,
-41.8368377,172.8229450,Bushline Hut,
